competitionId	name	cityname	countryId	competitors	year	month	day
ZhengzhouSpringOpen2013	Zhengzhou Spring Open 2013	Zhengzhou	China	54	2013	4	30
Guangzhou2013	Guangzhou Rubik's Cube Day 2013	Guangzhou	China	64	2013	5	1
BUAAOpen2013	BUAA Open 2013	Beijing	China	54	2013	5	12
NUAAOpen2013	NUAA Open 2013	Nanjing	China	43	2013	5	12
XianSummer2013	Xi'an Summer 2013	Xi'an	China	32	2013	5	25
GuangzhouSCAU2013	Guangzhou SCAU Open 2013	Guangzhou	China	45	2013	5	26
LuoyangOpen2013	Luoyang Open 2013	Luoyang	China	53	2013	6	16
NanningOpen2013	Nanning Open 2013	Nanning, Guangxi	China	36	2013	7	14
YingkouOpen2013	Yingkou Open 2013	Yingkou, Liaoning	China	75	2013	7	14
ShantouOpen2013	Shantou Open 2013	Shantou, Guangdong	China	67	2013	7	19
GuangzhouCCSA2013	Guangzhou CCSA Championship 2013	Guangzhou, Guangdong	China	116	2013	7	22
HefeiOpen2013	Hefei Open 2013	Hefei	China	94	2013	7	27
ShanghaiSummer2013	Shanghai Summer 2013	Shanghai	China	134	2013	8	3
BeijingSummer2013	Beijing Summer 2013	Beijing	China	72	2013	8	10
ChongqingOpen2013	Chongqing Open 2013	Chongqing	China	69	2013	8	10
TaiwanSummer2013	Taiwan Summer Open 2013	Taipei	Taiwan	112	2013	8	17
WuxiOpen2013	Wuxi Open 2013	Wuxi, Jiangsu	China	74	2013	8	17
XiamenOpen2013	Xiamen Open 2013	Xiamen	China	76	2013	9	20
GuangdongOpen2013	Guangdong Open 2013	Guangdong	China	190	2013	10	1
HebeiUniversity2013	Hebei University 2013	Shijiazhuang	China	34	2013	10	13
TaiyuanOpen2013	Taiyuan Open 2013	Taiyuan, Shanxi Province	China	33	2013	10	19
KaohsiungOpen2013	Kaohsiung Open 2013	Kaohsiung City	Taiwan	43	2013	10	26
DalianOpen2013	Dalian Open 2013	Dalian	China	75	2013	10	27
NanchangOpen2013	Nanchang Open 2013	Nanchang, Jiangxi	China	36	2013	10	27
WenzhouOpen2013	Wenzhou Open 2013	Wenzhou, Zhejiang	China	41	2013	11	3
TUT2013	TUT 2013	Tianjin	China	74	2013	11	17
GuangzhouBigCubes2013	Guangzhou Big Cubes 2013	Guangzhou, Guangdong	China	30	2013	12	1
XianWinterOpen2013	Xi'an Winter 2013	Xi'an	China	51	2013	12	8
FuZhouOpen2013	Fuzhou Open 2013	Fuzhou, Fujian Province	China	72	2013	12	15
BeijingWinterOpen2013	Beijing Winter Open 2013	Beijing	China	74	2013	12	21
HsinchuWinter2013	Hsinchu Winter Open 2013	Hsinchu	Taiwan	35	2013	12	29
ShenyangOpen2013	Shenyang Open 2013	Shenyang	China	83	2013	12	29
GuangzhouSmallCubes2014	Guangzhou Small Cubes 2014	Guangzhou, Guangdong	China	87	2014	1	12
XiningWinterOpen2014	Xining Winter Open 2014	Xining, Qinghai	China	39	2014	2	16
LanZhouWinter2014	LanZhou Winter 2014	Lanzhou, Gansu	China	17	2014	2	18
KaohsiungWinterOpen2014	Kaohsiung Winter Open 2014	Kaohsiung	Taiwan	39	2014	2	22
ShanghaiSpring2014	Shanghai Spring 2014	Shanghai	China	64	2014	3	2
MaruCubeKidsDay2014	Maru Cube for Kids Day 2014	Tainan	Taiwan	39	2014	4	5
NanjingSpring2014	Nanjing Spring 2014	Nanjing	China	73	2014	4	7
ShandongSpringOpen2014	Shandong Spring Open 2014	Weifang, Shandong	China	72	2014	4	13
XianCherryBlossom2014	Xi'an Cherry Blossom 2014	Xi'an	China	69	2014	4	13
BeijingSpring2014	Beijing Spring 2014	Beijing	China	23	2014	4	19
CubeSplashing2014	Guangzhou Cube Splashing Day 2014	Guangzhou, Guangdong	China	70	2014	4	20
ShanghaiMilanyuanCafe2014	Shanghai Milanyuan Cafe 2014	Shanghai	China	17	2014	4	26
HsinchuSpringOpen2014	Hsinchu Spring Open 2014	Hsinchu City	Taiwan	30	2014	4	27
HefeiSpring2014	Hefei Spring 2014	Hefei	China	85	2014	5	1
ChengduOpen2014	Chengdu Open 2014	Chengdu, Sichuan	China	55	2014	5	2
FuzhouOpen2014	Fuzhou Open 2014	Fuzhou, Fujian	China	44	2014	5	11
GuangzhouWushanOpen2014	Guangzhou Wushan Open 2014	Guangzhou, Guangdong	China	41	2014	5	18
ZhejiangUniversityOpen2014	Zhejiang University Open 2014	Hangzhou	China	46	2014	5	24
HarbinOpen2014	Harbin Open 2014	Harbin, Heilongjiang	China	96	2014	5	25
ZhengzhouOpen2014	Zhengzhou Open 2014	Zhengzhou, Henan	China	42	2014	5	25
TianjinUniversityOpen2014	Tianjin University Open 2014	Tianjin	China	51	2014	6	7
MingdaoCubeCarnival2014	Mingdao Cube Carnival 2014	Taichung	Taiwan	42	2014	6	15
KaohsiungSummerOpen2014	Kaohsiung Summer Open 2014	Kaohsiung City 81157	Taiwan	44	2014	7	5
BeijingSummer2014	Beijing Summer Open 2014	Beijing	China	93	2014	7	6
SuzhouOpen2014	Suzhou Open 2014	Suzhou, Jiangsu	China	153	2014	7	12
HefeiSummerOpen2014	Hefei Summer Open 2014	Hefei, Anhui	China	67	2014	7	13
NantongOpen2014	Nantong Open 2014	Nantong, Jiangsu	China	77	2014	7	19
