name	city	value	year	month	day
TaipeiOpen2015	台湾	50	2015	12	6
YunnanOpen2015	云南	45	2015	12	13
HeilongjiangOpen2015	黑龙江	76	2015	12	20
TaiwanCubingLeagueKaohsiung2015	台湾	49	2015	12	26
NanchangWinter2015	江西	85	2015	12	27
ShenzhenNewYear2016	广东	108	2016	1	2
XianNewYear2016	陕西	64	2016	1	2
DongguanOpen2016	广东	77	2016	1	31
HsinchuWinterOpen2016	台湾	49	2016	1	31
BigCubesChallenge2016	台湾	55	2016	2	27
Guangzhou3x3Days2016	广东	87	2016	3	5
AllisWell2016	台湾	36	2016	3	12
ShanghaiSpring2016	上海	115	2016	3	19
QingdaoOpen2016	山东	65	2016	3	20
QuietAnHuiUniversity2016	安徽	14	2016	3	27
XianCherryBlossom2016	陕西	104	2016	4	2
HuizhouOpen2016	广东	78	2016	4	3
ShenyangOpen2016	辽宁	315	2016	4	23
NanjingSpring2016	江苏	146	2016	4	30
ChengduOpen2016	四川	103	2016	5	1
TaichungCubeOpen2016	台湾	53	2016	5	1
TangshanOpen2016	河北	103	2016	5	8
XiamenOpen2016	福建	97	2016	5	8
XianSummer2016	陕西	56	2016	5	8
ShanghaiSongjiangOpen2016	上海	129	2016	5	14
WeihaiOpen2016	山东	94	2016	5	15
OneNightinBeijing2016	北京	157	2016	5	28
TaiwanBlindDay2016	台湾	15	2016	5	29
FuzhouOpen2016	福建	91	2016	6	5
TaiyuanOpen2016	山西	65	2016	6	5
CubeofOddNumbers2016	河南	179	2016	6	18
SuzhouOpen2016	江苏	151	2016	7	2
ChangchunOpen2016	吉林	69	2016	7	3
MaruCubeDay2016	台湾	132	2016	7	9
NanchangOpen2016	江西	78	2016	7	10
HefeiOpen2016	安徽	167	2016	7	15
ChongqingOpen2016	重庆	125	2016	7	16
HappyCubingTaiwan2016	台湾	56	2016	7	24
XiningSummerOpen2016	青海	68	2016	7	31
JinhuaOpen2016	浙江	134	2016	8	6
LinyiOpen2016	山东	91	2016	8	7
ShantouOpen2016	广东	123	2016	8	7
CrossstraitCubing2016	广东	203	2016	8	13
XianOpen2016	陕西	136	2016	8	13
YangzhouOpen2016	江苏	116	2016	8	17
ACARO2016	香港	117	2016	8	20
KaohsiungOpen2016	台湾	47	2016	9	25
AsianChampionship2016	北京	955	2016	10	1
NanjingAutumn2016	江苏	132	2016	10	16
TKKOpen2016	福建	96	2016	10	16
TaiwanChampionship2016	台湾	143	2016	10	29
ShanghaiWinterisComing2016	上海	150	2016	11	5
WuhanOpen2016	湖北	89	2016	11	6
ZiboOpen2016	山东	132	2016	11	6
TianjinOpen2016	天津	100	2016	11	12
HangzhouAutumn2016	浙江	165	2016	11	19
TaiyuanWinterOpen2016	山西	76	2016	11	20
ZhenjiangOpen2016	江苏	112	2016	11	20
XJTUOpen2016	陕西	110	2016	11	27
BignBlind2016	广东	71	2016	12	11
NanchangWinter2016	江西	81	2016	12	11
ShenyangWinter2016	辽宁	138	2016	12	11
WeifangWinter2016	山东	97	2016	12	11
KaohsiungWinterOpen2016	台湾	47	2016	12	17
QuanzhouOpen2016	福建	98	2016	12	18
ShenzhenNewYear2017	广东	98	2017	1	1
XianNewYear2017	陕西	112	2017	1	2
DongguanOpen2017	广东	96	2017	1	22
TaipeiOpen2017	台湾	64	2017	2	11
HongKongCubeDay2017	香港	168	2017	2	25
AnhuiUniversitySmartOpen2017	安徽	65	2017	3	11
ShanghaiSpring2017	上海	142	2017	3	18
WuhanChuyunSpring2017	湖北	87	2017	3	19
ZUAOpen2017	河南	179	2017	3	25
GDSYOpen2017	广东	139	2017	3	26
QingdaoPrimeNumbers2017	山东	103	2017	3	26
XianCherryBlossom2017	山西	214	2017	4	2
AllisWell2017	台湾	47	2017	4	8
ZhangzhouSpring2017	福建	72	2017	4	9
NanchangSpring2017	江西	112	2017	4	15
GuangzhouSCUT2017	广东	99	2017	4	22
LanzhouSpring2017	甘肃	75	2017	4	22
ChengduOpen2017	四川	139	2017	4	29
NanjingSpring2017	江苏	201	2017	4	30
WeihaiOpen2017	山东	138	2017	4	30
WenzhouOpen2017	浙江	74	2017	4	30
ChangshaXiangmo2017	湖南	81	2017	5	6
TaiyuanOpen2017	山西	87	2017	5	7
ShenyangSpring2017	辽宁	232	2017	5	13
NanningOpen2017	广西	72	2017	5	14
XiamenOpen2017	福建	93	2017	5	14
ShanghaiLoveInECNU2017	上海	145	2017	5	20
WuhanNxNOpen2017	湖北	119	2017	5	20
HuaibeiOpen2017	安徽	44	2017	5	21
FuzhouOpen2017	福建	114	2017	5	28
TangshanOpen2017	河北	111	2017	5	28
ZhuhaiOpen2017	广东	137	2017	5	29
HKSideEventDay2017	香港	50	2017	6	3
TaiwanBlindDay2017	台湾	20	2017	6	4
ZUSTOpen2017	浙江	127	2017	6	10
LuoyangOpen2017	河南	101	2017	6	11
MaomingOpen2017	广东	90	2017	6	11
KaohsiungSummerOpen2017	台湾	47	2017	6	11
ChaozhouOpen2017	广东	53	2017	6	18
BeijingOpen2017	北京	280	2017	6	24
QuanzhouOpen2017	福建	113	2017	7	2
ChangshuOpen2017	江苏	102	2017	7	8
LongyanSummerOpen2017	福建	79	2017	7	9
MaruCubeDay2017	台湾	119	2017	7	15
ChinaChampionship2017	陕西	566	2017	7	28
LanyangOpen2017	台湾	49	2017	7	29
InnerMongoliaSummer2017	内蒙古	158	2017	8	5
WuxiOpen2017	江苏	132	2017	8	5
CoconutIslandOpen2017	海南	101	2017	8	6
CrossstraitCubing2017	台湾	127	2017	8	12
NingxiaOpen2017	宁夏	75	2017	8	13
QuanzhouSideEvent2017	福建	120	2017	8	19
ShantouOpen2017	广东	145	2017	8	20
YangzhouOpen2017	江苏	346	2017	8	20
HongKongOpen2017	香港	165	2017	8	26
KaohsiungAutumnOpen2017	台湾	48	2017	9	10
SuzhouOpen2017	江苏	115	2017	9	16
BeijingTenYearsOpen2017	北京	194	2017	9	17
XuchangOpen2017	河南	83	2017	9	24
China10years2017	广东	600	2017	10	1
HefeiOpen2017	安徽	194	2017	10	5
YunnanOpen2017	云南	55	2017	10	7
XPUOpen2017	陕西	105	2017	10	14
HUSTSpecialCubesOpen2017	湖北	56	2017	10	15
TaiyuanAutumn2017	山西	114	2017	10	15
XiamenAutumn2017	福建	103	2017	10	15
ZhanjiangOpen2017	广东	70	2017	10	22
GuilinOpen2017	广西	70	2017	10	29
NanjingAutumn2017	江苏	136	2017	11	4
ZhongshanOpen2017	广东	319	2017	11	4
FuzhouAutumn2017	福建	82	2017	11	5
NanchangOpen2017	江西	111	2017	11	11
HDUOpen2017	浙江	134	2017	11	18
JinanOpen2017	山东	111	2017	11	18
TKKOpen2017	福建	102	2017	11	19
JiaozuoOpen2017	河南	214	2017	11	25
WHURubiksCubeDays2017	湖北	140	2017	11	25
ShijiazhuangOpen2017	河北	114	2017	11	26
DalianWinter2017	辽宁	114	2017	12	3
ShenzhenOpen2017	广东	111	2017	12	3
TaiwanChampionship2017	台湾	115	2017	12	8
BignBlind2017	广东	82	2017	12	10
ZhenjiangOpen2017	江苏	137	2017	12	10
HeilongjiangCollegesOpen2017	黑龙江	136	2017	12	17
ZiboOpen2017	山东	111	2017	12	23
ChongqingOpen2017	重庆	162	2017	12	30
JinhuaNewYearsDay2018	浙江	134	2018	1	1
XianNewYear2018	陕西	190	2018	1	1
ShanghaiWinter2018	上海	154	2018	1	20
